제목,작성자,작성일,조회수,좋아요
N/A,반수가능할지도,N/A,N/A,N/A
이*은 동국대,6관왕이 될테다,2024.11.11.,248,N/A
N/A,6관왕이 될테다,N/A,N/A,N/A
12월 13일에 모든게 걸려있는데,Peaceful Korean,2024.11.11.,766,N/A
N/A,Peaceful Korean,N/A,N/A,N/A
고3 선택과목,llillliliiiilil,2024.11.11.,120,N/A
N/A,llillliliiiilil,N/A,N/A,N/A
솔직히 현역을 조금이라도 배려해준다면,아롱다롱서롱티비,2024.11.11.,1128,N/A
N/A,아롱다롱서롱티비,N/A,N/A,N/A
공규현 학생의 동국대 합격을 축하합니다,동사런,2024.11.11.,471,N/A
N/A,동사런,N/A,N/A,N/A
윤도*생명 라이브수업,알베로,2024.11.11.,181,N/A
N/A,알베로,N/A,N/A,N/A
2025 수능이 끝나면,한대산 영어,2024.11.11.,285,N/A
N/A,한대산 영어,N/A,N/A,N/A
사실 내일 4시 59분에 해도 조발임,물리학과보내주세요,2024.11.11.,749,N/A
N/A,물리학과보내주세요,N/A,N/A,N/A
박*진 학생의 동국대 합격을 기원합니다,나애전애옹,2024.11.11.,279,N/A
N/A,나애전애옹,N/A,N/A,N/A
동국대 밀당 ㄹㅈㄷ네요,수시러3918,2024.11.11.,1066,N/A
N/A,수시러3918,N/A,N/A,N/A
동국,베리베리베라,2024.11.11.,812,N/A
N/A,베리베리베라,N/A,N/A,N/A
대학 골라주세요ㅜㅜ,코리도라스가물치,2024.11.11.,390,N/A
N/A,코리도라스가물치,N/A,N/A,N/A
이*섭 학생의 동국대 합격을 기원합니다.,한결이올시다,2024.11.11.,86,N/A
N/A,한결이올시다,N/A,N/A,N/A
[동국대] 동국대 합격 기원,엄마행복하게해주기,2024.11.11.,242,N/A
N/A,엄마행복하게해주기,N/A,N/A,N/A
백석대 예비도 없는 불합격…,사회복지학과ㅏㅏ,2024.11.11.,804,N/A
N/A,사회복지학과ㅏㅏ,N/A,N/A,N/A
[고연대 수시] 수시로 떨어지면 정시로 가지 뭐,yonsiuu,2024.11.11.,639,N/A
N/A,yonsiuu,N/A,N/A,N/A
@@학생 합격 기원 게시글????,두더지쿼카,2024.11.11.,403,N/A
N/A,두더지쿼카,N/A,N/A,N/A
[동국대] 이*린학생 동국대 1차 합격을 축하합니다.,동국대 화공 25학번,2024.11.11.,545,N/A
N/A,동국대 화공 25학번,N/A,N/A,N/A
진짜 조발 안 하려나,물리학과보내주세요,2024.11.11.,700,N/A
N/A,물리학과보내주세요,N/A,N/A,N/A
백석대 자율전공 100명 모집 예비16번,ofn21c,2024.11.11.,258,N/A
N/A,ofn21c,N/A,N/A,N/A
마닳 상상베오베,llililliiililllllll,2024.11.11.,52,N/A
N/A,llililliiililllllll,N/A,N/A,N/A
이*현 학생의 동국대 합격을 기원합니다,Rosanne,2024.11.11.,104,N/A
N/A,Rosanne,N/A,N/A,N/A
동국대 오늘 조발 안하나요?,코돈이꿀잼,2024.11.11.,663,N/A
N/A,코돈이꿀잼,N/A,N/A,N/A
연대 활우 1차 뚫으신 분들,올해고삼,2024.11.11.,1099,N/A
N/A,올해고삼,N/A,N/A,N/A
황@은동국대합격을기원해주세요,비나이다비나이다가자,2024.11.11.,161,N/A
N/A,비나이다비나이다가자,N/A,N/A,N/A
인하대 디텍,uuminxx,2024.11.11.,227,N/A
N/A,uuminxx,N/A,N/A,N/A
백석대 지역인재,쥐웅,2024.11.11.,97,N/A
N/A,쥐웅,N/A,N/A,N/A
불교 인재 신** 학생의 동국대 합격을 기원합니다. 나무아미타불,예를들어,2024.11.11.,153,N/A
N/A,예를들어,N/A,N/A,N/A
생윤 사회계약론 질문,대학저요제발저,2024.11.11.,56,N/A
N/A,대학저요제발저,N/A,N/A,N/A
션티쌤,현역이화목표,2024.11.11.,108,N/A
N/A,현역이화목표,N/A,N/A,N/A
dk아니 왜 안 들어가져 연대 이새,농농쓰,2024.11.11.,835,N/A
N/A,농농쓰,N/A,N/A,N/A
동국대 곧 발표네요 1차 모두 붙으시길 빕니다~ 이 글 동국대에서 쓰고있네요 ㅋㅋ,인서울수학과,2024.11.11.,2820,N/A
N/A,인서울수학과,N/A,N/A,N/A
수원대 서양화 합격..학교고민,무마무마,2024.11.11.,581,N/A
N/A,무마무마,N/A,N/A,N/A
생윤 샤모 리트,이대유교과25학번,2024.11.11.,66,N/A
N/A,이대유교과25학번,N/A,N/A,N/A
수험생 카페에서 이런 글이..,Iiliiililliili,2024.11.11.,727,N/A
N/A,Iiliiililliili,N/A,N/A,N/A
정법 질문!!!,jjjjijnJjkAn,2024.11.11.,113,N/A
N/A,jjjjijnJjkAn,N/A,N/A,N/A
[건대] 건국대 논술 장소,헬로든든힘내,2024.11.11.,179,N/A
N/A,헬로든든힘내,N/A,N/A,N/A
연대 안들어가져요,으휴확가,2024.11.11.,1400,N/A
N/A,으휴확가,N/A,N/A,N/A
서버 복구 언제될까요??,liiilliiillllii,2024.11.11.,877,N/A
N/A,liiilliiillllii,N/A,N/A,N/A
신한대 예비,대학합격할께요,2024.11.11.,401,N/A
N/A,대학합격할께요,N/A,N/A,N/A
[경기남부권] 12월2일 26년 수능 수포자 대상 수능수업합니다,이강토수능수학,2024.11.11.,185,N/A
N/A,이강토수능수학,N/A,N/A,N/A
면접때 대한적십자사 언급,감바스스,2024.11.11.,100,N/A
N/A,감바스스,N/A,N/A,N/A
내일 동덕여대 발표,Iiiiiiiisiiiii,2024.11.11.,1376,N/A
N/A,Iiiiiiiisiiiii,N/A,N/A,N/A
연대 서버 터졌나요ㅠㅠㅠ,illlillllliiillll,2024.11.11.,1404,N/A
N/A,illlillllliiillll,N/A,N/A,N/A
수능 도시락 마라샹궈,sapi0b,2024.11.11.,658,N/A
N/A,sapi0b,N/A,N/A,N/A
당위의 학문,행운이가득하기를바람,2024.11.11.,33,N/A
N/A,행운이가득하기를바람,N/A,N/A,N/A
면접 때 독서 내용 준비,duality0511,2024.11.11.,244,N/A
N/A,duality0511,N/A,N/A,N/A
[고연대 수시] 솔직히 5시에 발표하면,Decembertweetie,2024.11.11.,1396,N/A
N/A,Decembertweetie,N/A,N/A,N/A
신한대 간호,나비연기,2024.11.11.,306,N/A
N/A,나비연기,N/A,N/A,N/A
[고연대 수시] 활우 정시 발표,큼근,2024.11.11.,1072,N/A
N/A,큼근,N/A,N/A,N/A
동국대 1차 및 최종합격 기원 10일차🙏🏻,갈거야 인서울,2024.11.11.,579,N/A
N/A,갈거야 인서울,N/A,N/A,N/A
실패하면 복학해야하는데,illllilllili,2024.11.11.,360,N/A
N/A,illllilllili,N/A,N/A,N/A
건양대 임상병리 방사선,iLiuiii,2024.11.11.,208,N/A
N/A,iLiuiii,N/A,N/A,N/A
평택대 과탐실,간호학과보내주세ㅇ,2024.11.11.,46,N/A
N/A,간호학과보내주세ㅇ,N/A,N/A,N/A
사문 질문이여,xxuni,2024.11.11.,114,N/A
N/A,xxuni,N/A,N/A,N/A
신한대 간호 교과 일반전형 예비,서녕158,2024.11.11.,285,N/A
N/A,서녕158,N/A,N/A,N/A
경인교대 수시 발표일은 언제인가요,여나여나야,2024.11.11.,678,N/A
N/A,여나여나야,N/A,N/A,N/A
신한대 경영 자전,suqawse,2024.11.11.,93,N/A
N/A,suqawse,N/A,N/A,N/A
[약대 수시] 덕성 1차,응늉응늉,2024.11.11.,1253,N/A
N/A,응늉응늉,N/A,N/A,N/A
[빠지실분] 상지대 물치,참참시,2024.11.11.,55,N/A
N/A,참참시,N/A,N/A,N/A
청주대 질문,dlqmsdldla,2024.11.11.,519,N/A
N/A,dlqmsdldla,N/A,N/A,N/A
응급구조학과 추천 부탁드려요!!,uunnuni,2024.11.11.,91,N/A
N/A,uunnuni,N/A,N/A,N/A
1지망 대학 최종 13일에 나오는데,공부짱짱이되고픈,2024.11.11.,529,N/A
N/A,공부짱짱이되고픈,N/A,N/A,N/A
미술학원 정시특강,흑ㄱ대학가고싶어요,2024.11.11.,560,N/A
N/A,흑ㄱ대학가고싶어요,N/A,N/A,N/A
대전 응구과,LJYKCW,2024.11.11.,106,N/A
N/A,LJYKCW,N/A,N/A,N/A
수시 합격 등록포기후 정시지원 가능한가요 ?,LiiiLllllliiiiiiiii,2024.11.11.,1032,N/A
N/A,LiiiLllllliiiiiiiii,N/A,N/A,N/A
대치동 당근있으신분 연결 부탁드려요…ㅠㅠ,수시합격기원제발,2024.11.11.,211,N/A
N/A,수시합격기원제발,N/A,N/A,N/A
전주대 최초합,2hr,2024.11.11.,488,N/A
N/A,2hr,N/A,N/A,N/A
[빠지실분] 신한대 스포츠의학과 빠지시는 분?,냉장고맛있다,2024.11.11.,170,N/A
N/A,냉장고맛있다,N/A,N/A,N/A
신한대 간호 예비,제발간호학과,2024.11.11.,279,N/A
N/A,제발간호학과,N/A,N/A,N/A
님들연대안나옴?안나올리가없뜸나만안뜨나,akzmtldus,2024.11.11.,2971,N/A
N/A,akzmtldus,N/A,N/A,N/A
이대 국제학부 vs 서강대 영문학부,벌써고삼이라니,2024.11.11.,715,N/A
N/A,벌써고삼이라니,N/A,N/A,N/A
최초합 신한대 사회과학대학,면접때문에머리아픔,2024.11.11.,608,N/A
N/A,면접때문에머리아픔,N/A,N/A,N/A
신한대 사회과학,대학아나살려,2024.11.11.,165,N/A
N/A,대학아나살려,N/A,N/A,N/A
인하대 합격기원🍀🐉,미믐믐,2024.11.11.,661,N/A
N/A,미믐믐,N/A,N/A,N/A
기대가 컸던 탓일까요,serenitas,2024.11.11.,793,N/A
N/A,serenitas,N/A,N/A,N/A
[미대 수시] 삼반수 홍대 1차 떨,과탑삼반수,2024.11.11.,966,N/A
N/A,과탑삼반수,N/A,N/A,N/A
서울신학대 추합 예비번호,dkwjskskx,2024.11.11.,412,N/A
N/A,dkwjskskx,N/A,N/A,N/A
2025학년도 기회균형전형(저소득) 정시 모집군별 인서울 대학 리스트(나군),기균서울대,2024.11.11.,331,N/A
N/A,기균서울대,N/A,N/A,N/A
국어의 본질..,인생은 쓰,2024.11.11.,61,N/A
N/A,인생은 쓰,N/A,N/A,N/A
부천대 배화여대 보건행정,양영양영,2024.11.11.,49,N/A
N/A,양영양영,N/A,N/A,N/A
신한대 일반전형 경영 자전 예비 몇 번까지 돌까요?ㅋㅋ,바보므엉,2024.11.11.,192,N/A
N/A,바보므엉,N/A,N/A,N/A
신한대 학생부우수자,제발25학번좀,2024.11.11.,222,N/A
N/A,제발25학번좀,N/A,N/A,N/A
신한대,Yyyyyyy06,2024.11.11.,291,N/A
N/A,Yyyyyyy06,N/A,N/A,N/A
김천대 셔틀,행복지수 만땅,2024.11.11.,138,N/A
N/A,행복지수 만땅,N/A,N/A,N/A
신한대 간호학과 추천?,아자아자쭈쭈,2024.11.11.,423,N/A
N/A,아자아자쭈쭈,N/A,N/A,N/A
신한대 뜨거운 합격,제발 붙여주시길,2024.11.11.,645,N/A
N/A,제발 붙여주시길,N/A,N/A,N/A
대진대 인문사회 예비,락감자,2024.11.11.,71,N/A
N/A,락감자,N/A,N/A,N/A
간호학과,VwViiii,2024.11.11.,403,N/A
N/A,VwViiii,N/A,N/A,N/A
신한대 간호 최초합 !!!,노눈게좋른데,2024.11.11.,581,N/A
N/A,노눈게좋른데,N/A,N/A,N/A
수능의 놀라운 경험,이강토수능수학,2024.11.11.,197,N/A
N/A,이강토수능수학,N/A,N/A,N/A
신한대 유아교육과 예비,ㅡㅜㅜㅜㅡㅠㅍ,2024.11.11.,397,N/A
N/A,ㅡㅜㅜㅜㅡㅠㅍ,N/A,N/A,N/A
서울신학대 일반전형 예비 12번,serenitas,2024.11.11.,258,N/A
N/A,serenitas,N/A,N/A,N/A
신한대,대학아나살려,2024.11.11.,365,N/A
N/A,대학아나살려,N/A,N/A,N/A
서울 신학대,33ㅁㅈㅁ33,2024.11.11.,161,N/A
N/A,33ㅁㅈㅁ33,N/A,N/A,N/A
김천대 조기발표,겨울온조,2024.11.11.,236,N/A
N/A,겨울온조,N/A,N/A,N/A
홍대 교과(인문 예능) 전형에서 진로 선택 과목은 국영수사 관련 교과만 해당인거예요?,lliiliiilillli,2024.11.11.,187,N/A
N/A,lliiliiilillli,N/A,N/A,N/A
인하대 합격 기원,인하불문제발붙여줘,2024.11.11.,373,N/A
N/A,인하불문제발붙여줘,N/A,N/A,N/A
홍대 디자인 1차 합!,Letter12,2024.11.11.,798,N/A
N/A,Letter12,N/A,N/A,N/A
서울신학대 h인재전형 예비,우이우11,2024.11.11.,141,N/A
N/A,우이우11,N/A,N/A,N/A
신한대 간호,리현상,2024.11.11.,515,N/A
N/A,리현상,N/A,N/A,N/A
덕성여대 vs 성신여대 vs 가천대,SEULA2,2024.11.11.,1784,N/A
N/A,SEULA2,N/A,N/A,N/A
신한대 경영 자전,햄슈터,2024.11.11.,404,N/A
N/A,햄슈터,N/A,N/A,N/A
영이공의 입장,대구사람이다용,2024.11.11.,441,N/A
N/A,대구사람이다용,N/A,N/A,N/A
[미대 수시] 홍대1차 붙었어요 ㅎㅎ,sumrirockkuma,2024.11.11.,1130,N/A
N/A,sumrirockkuma,N/A,N/A,N/A
엄마한테 어떻게 말해야될지 모르겠어요…,잘못된선택을한핑,2024.11.11.,1722,N/A
N/A,잘못된선택을한핑,N/A,N/A,N/A
[미대 수시] 홍익대 디자인학부 1차 면접대상자 발표 시간,호성박,2024.11.11.,825,N/A
N/A,호성박,N/A,N/A,N/A
국어 팁,illlililillllil,2024.11.11.,275,N/A
N/A,illlililillllil,N/A,N/A,N/A
가천대 조기취업학과,고3이로구나,2024.11.11.,263,N/A
N/A,고3이로구나,N/A,N/A,N/A
성결대 중어중문 예비 4번인데 가능성 있나요??,blue1119,2024.11.11.,261,N/A
N/A,blue1119,N/A,N/A,N/A
동양미래대 수시 1차 자유전공학과 최초합 결과,첨이마,2024.11.11.,107,N/A
N/A,첨이마,N/A,N/A,N/A
대전대학교 간호학과,ooio00oi,2024.11.11.,267,N/A
N/A,ooio00oi,N/A,N/A,N/A
신한대 발표까지 55분 전 ㄷㄷ 🍀🍀🍀,신의 한 수 신한대,2024.11.11.,729,N/A
N/A,신의 한 수 신한대,N/A,N/A,N/A
현역 수요일 몇교시 하나요,ajkle,2024.11.11.,492,N/A
N/A,ajkle,N/A,N/A,N/A
[문제질문] 성과 마음은 그 의미가 명확허게 구분되는가?,제 대학가자 발,2024.11.11.,53,N/A
N/A,제 대학가자 발,N/A,N/A,N/A
국민대 러시아유라시아,iliiiliki,2024.11.11.,174,N/A
N/A,iliiiliki,N/A,N/A,N/A
동덕여대,118264,2024.11.11.,1221,N/A
N/A,118264,N/A,N/A,N/A
대학교 1학년 편입준비 과정이요!,rjdks1124,2024.11.11.,145,N/A
N/A,rjdks1124,N/A,N/A,N/A
아주대 기균도 같이 발표하나용가리,수느응가,2024.11.11.,383,N/A
N/A,수느응가,N/A,N/A,N/A
[문제질문] 일탈자의 부정적 자아가 형성되는 과정에 주목한다,뜌뜌무라,2024.11.11.,136,N/A
N/A,뜌뜌무라,N/A,N/A,N/A
갑자기 과민성,ilililililliliiiilii,2024.11.11.,414,N/A
N/A,ilililililliliiiilii,N/A,N/A,N/A
어떡하죠,seg,2024.11.11.,278,N/A
N/A,seg,N/A,N/A,N/A
마지막 영어 실모,고등학교3학년 옷,2024.11.11.,184,N/A
N/A,고등학교3학년 옷,N/A,N/A,N/A
아래 의대 중 순위(?) 선호도(?) 궁금해요.,1122331,2024.11.11.,2761,N/A
N/A,1122331,N/A,N/A,N/A
인하대 조발 할까요?,미분과 적분입니다,2024.11.11.,973,N/A
N/A,미분과 적분입니다,N/A,N/A,N/A
덕성 면접 a조b조,hmmmmmmmmmmm,2024.11.11.,518,N/A
N/A,hmmmmmmmmmmm,N/A,N/A,N/A
[문제질문] 생윤 질문,ㅍㄴㄷ,2024.11.11.,74,N/A
N/A,ㅍㄴㄷ,N/A,N/A,N/A
동국대 1차합격,해린씨,2024.11.11.,3441,N/A
N/A,해린씨,N/A,N/A,N/A
가채점표,최초합 장인,2024.11.11.,279,N/A
N/A,최초합 장인,N/A,N/A,N/A
고대 고른 조발할까요?,ililiilllll,2024.11.11.,401,N/A
N/A,ililiilllll,N/A,N/A,N/A
을지대 방사선학과 지균,Eogkrryqhsoekffk,2024.11.11.,235,N/A
N/A,Eogkrryqhsoekffk,N/A,N/A,N/A
독학재수학원/독학기숙학원 비용 및 시스템 정리,에듀셀파,2024.11.11.,141,N/A
N/A,에듀셀파,N/A,N/A,N/A
덕성여대 면접 준비 도와주세요,학종3,2024.11.11.,653,N/A
N/A,학종3,N/A,N/A,N/A
귀신이 말하는건 의인화가 아니죠?,공부하라우,2024.11.11.,396,N/A
N/A,공부하라우,N/A,N/A,N/A
생윤 분배정의 질문,imhappyandyou,2024.11.11.,100,N/A
N/A,imhappyandyou,N/A,N/A,N/A
영남대 학종 조기발표 날 일은 하늘이 두 쪽이 나도 없겠죠,Yyyyuu11,2024.11.11.,470,N/A
N/A,Yyyyuu11,N/A,N/A,N/A
고대 수시 발표,그곳을바라보며,2024.11.11.,622,N/A
N/A,그곳을바라보며,N/A,N/A,N/A
국어 모의고사,Hannanna,2024.11.11.,206,N/A
N/A,Hannanna,N/A,N/A,N/A
홍익대 제발요,almdje,2024.11.11.,581,N/A
N/A,almdje,N/A,N/A,N/A
시계 하나만 들고 가도 괜찮겠죠?,재수번호709,2024.11.11.,276,N/A
N/A,재수번호709,N/A,N/A,N/A
내일!!!!!! 홍대 발표네요🍀☘️,미대 멘토,2024.11.11.,1818,N/A
N/A,미대 멘토,N/A,N/A,N/A
6학종 있으신가여,수맍리,2024.11.11.,882,N/A
N/A,수맍리,N/A,N/A,N/A
[교재] 2025 션티 주간키스 시즌2~3 일괄판매,쫄병매콤한맛,2024.11.11.,12,N/A
N/A,쫄병매콤한맛,N/A,N/A,N/A
수능 성적표 발급,나오미이,2024.11.11.,372,N/A
N/A,나오미이,N/A,N/A,N/A
수능 탐구(정법 사문),원중전영중,2024.11.11.,225,N/A
N/A,원중전영중,N/A,N/A,N/A
일반감기인데 인정결석 가능?,승제쌤 사랑해요,2024.11.11.,298,N/A
N/A,승제쌤 사랑해요,N/A,N/A,N/A
덕성 제발,jung쿠키,2024.11.11.,475,N/A
N/A,jung쿠키,N/A,N/A,N/A
"[빠지실분] 동서대학교 방송영상학과,영화과 빠지실 분 계신가요?ㅠㅠ",imyoungug,2024.11.11.,100,N/A
N/A,imyoungug,N/A,N/A,N/A
공주교대 최종 조기발표 가능성,중앙냐,2024.11.11.,224,N/A
N/A,중앙냐,N/A,N/A,N/A
학과 커리,lilililliiillilll,2024.11.11.,36,N/A
N/A,lilililliiillilll,N/A,N/A,N/A
전남대 일본어학과<>인천대 일본어학과,하늘정원맘,2024.11.11.,244,N/A
N/A,하늘정원맘,N/A,N/A,N/A
국어 시간 졸음,vllv,2024.11.11.,378,N/A
N/A,vllv,N/A,N/A,N/A
계명대 패디와 동아대 패디 골라주세요,ugauga,2024.11.11.,98,N/A
N/A,ugauga,N/A,N/A,N/A
연대미캠 조발,이제 견디는 시간,2024.11.11.,190,N/A
N/A,이제 견디는 시간,N/A,N/A,N/A
오늘 연세대 조발 날까요?,우주대마왕,2024.11.11.,1181,N/A
N/A,우주대마왕,N/A,N/A,N/A
[빠지실분] 배재대 간호 일반고교과 빠지실 분 있나요ㅜㅠ,레몬룩로퍼정보알려줘,2024.11.11.,134,N/A
N/A,레몬룩로퍼정보알려줘,N/A,N/A,N/A
가톨릭vs명지vs성신,하나라도 붙자요,2024.11.11.,699,N/A
N/A,하나라도 붙자요,N/A,N/A,N/A
서울대학교 23학번 사회문화 대면과외 모집,용주닝,2024.11.11.,100,N/A
N/A,용주닝,N/A,N/A,N/A
면접 마지막에 하고싶은말,Hhdjdidiw,2024.11.11.,266,N/A
N/A,Hhdjdidiw,N/A,N/A,N/A
싱어 시민불복종,행운만땅뿅,2024.11.11.,140,N/A
N/A,행운만땅뿅,N/A,N/A,N/A
"6,9모 우기분 정리",트레비스쓰깟,2024.11.11.,1358,N/A
N/A,트레비스쓰깟,N/A,N/A,N/A
면접 지원동기 봐주실분..!?,두더지쿼카,2024.11.11.,451,N/A
N/A,두더지쿼카,N/A,N/A,N/A
왈처 전쟁 정의론,gggggooo,2024.11.11.,18,N/A
N/A,gggggooo,N/A,N/A,N/A
23 현역 77778 -> 25 9모 23211,나금쪽,2024.11.11.,658,N/A
N/A,나금쪽,N/A,N/A,N/A
연소근로자 나이,반수가능할지도,2024.11.11.,34,N/A
N/A,반수가능할지도,N/A,N/A,N/A
3합9,와사비호빵,2024.11.11.,470,N/A
N/A,와사비호빵,N/A,N/A,N/A
면접 있는 교과면 생기부는 아예 안 보는 건가요?,따봉도치야땡큐,2024.11.11.,351,N/A
N/A,따봉도치야땡큐,N/A,N/A,N/A
사문 제발 도와주세요,수시 최저러,2024.11.11.,166,N/A
N/A,수시 최저러,N/A,N/A,N/A
인제대 작업치료학과 vs 대구대 작업치료학과,dhdhdhdhshshshsh,2024.11.11.,148,N/A
N/A,dhdhdhdhshshshsh,N/A,N/A,N/A
신한대 최초합 부탁드립니다 제발요...,신한대 붙자,2024.11.11.,551,N/A
N/A,신한대 붙자,N/A,N/A,N/A
서울여대 기원 1일차💕🍀💚,윤귀비7,2024.11.11.,304,N/A
N/A,윤귀비7,N/A,N/A,N/A
내가 힘낼수 잇는이유,합격시켜주세요갈거야,2024.11.11.,189,N/A
N/A,합격시켜주세요갈거야,N/A,N/A,N/A
신한대 댓글 한번씩만 부탁드려요,신한대가고싶어요,2024.11.11.,435,N/A
N/A,신한대가고싶어요,N/A,N/A,N/A
[문제질문] 롤스 싱어 시민불복종,현우진2세,2024.11.11.,62,N/A
N/A,현우진2세,N/A,N/A,N/A
군수질문,다그닥다그닥히이잉,2024.11.11.,105,N/A
N/A,다그닥다그닥히이잉,N/A,N/A,N/A
덕성여대 제발,skssnrnzz,2024.11.11.,603,N/A
N/A,skssnrnzz,N/A,N/A,N/A
[미대 수시] 부산대 서양화,illlilillilodld,2024.11.11.,144,N/A
N/A,illlilillilodld,N/A,N/A,N/A
🍀덕성 합격 기원🍀,수학과젭알요,2024.11.11.,271,N/A
N/A,수학과젭알요,N/A,N/A,N/A
숙대 면접 시간 나왔나요?,나를데려가줘대학아,2024.11.11.,499,N/A
N/A,나를데려가줘대학아,N/A,N/A,N/A
[칼럼] 서울대 생기부로 보는 면접답변 예시 [약학계열],CEO쌤,2024.11.11.,289,N/A
N/A,CEO쌤,N/A,N/A,N/A
예상해주세요..,얌야미1,2024.11.11.,169,N/A
N/A,얌야미1,N/A,N/A,N/A
광운대 예비 가능성,bjw0531,2024.11.11.,606,N/A
N/A,bjw0531,N/A,N/A,N/A
신한대 합격기원..,ㅡㅜㅜㅜㅡㅠㅍ,2024.11.11.,365,N/A
N/A,ㅡㅜㅜㅜㅡㅠㅍ,N/A,N/A,N/A
수원대와 강릉원주대,가나다123555,2024.11.11.,463,N/A
N/A,가나다123555,N/A,N/A,N/A
연필은 어떤게 젤 좋나요?,공부하라우,2024.11.11.,171,N/A
N/A,공부하라우,N/A,N/A,N/A
[경기] 신한대 사과대,당긴기,2024.11.11.,219,N/A
N/A,당긴기,N/A,N/A,N/A
ㅇ수학버리고 국어영어사탐만하는데,고3학생이에요,2024.11.11.,352,N/A
N/A,고3학생이에요,N/A,N/A,N/A
남은기간 국어,대학저요제발저,2024.11.11.,128,N/A
N/A,대학저요제발저,N/A,N/A,N/A
대진대학교,온라인 서포터즈52,2024.11.11.,164,N/A
N/A,온라인 서포터즈52,N/A,N/A,N/A
조선대 시각큐레이터학과 최초합,큐ㅜㅜ,2024.11.11.,213,N/A
N/A,큐ㅜㅜ,N/A,N/A,N/A
"실내디자인 건대 글로컬, 부산대",2025 특성화고,2024.11.11.,182,N/A
N/A,2025 특성화고,N/A,N/A,N/A
반수생 명지대 사학 ㄷ 전남전북 역교,Iiililiillilili,2024.11.11.,222,N/A
N/A,Iiililiillilili,N/A,N/A,N/A
여러분 언제 자요,수능 못 보면 북침,2024.11.11.,361,N/A
N/A,수능 못 보면 북침,N/A,N/A,N/A
"면접에서 ""우리 학교말고 또 어디 쓰셨어요?""에 대한 답변",무인도새우깡2000원,2024.11.11.,929,N/A
N/A,무인도새우깡2000원,N/A,N/A,N/A
1차에 붙었다는 건,햄스터전도사,2024.11.11.,734,N/A
N/A,햄스터전도사,N/A,N/A,N/A
파이널 김종익 모의고사 원래 이렇게 어렵나요?,moaiwjdals,2024.11.11.,220,N/A
N/A,moaiwjdals,N/A,N/A,N/A
신한대 합격 발표 언재나오나용?.??ㅠㅠㅠ,얘필,2024.11.11.,382,N/A
N/A,얘필,N/A,N/A,N/A
신한대,yex,2024.11.11.,155,N/A
N/A,yex,N/A,N/A,N/A
진학사 점공 수시합격가능성 봐주세요!,Iiiilliiiiil,2024.11.11.,296,N/A
N/A,Iiiilliiiiil,N/A,N/A,N/A
한남대 패션디자인학과 어떤가요?,몰몰루,2024.11.11.,61,N/A
N/A,몰몰루,N/A,N/A,N/A
덕성여대님,hmmmmmmmmmmm,2024.11.11.,437,N/A
N/A,hmmmmmmmmmmm,N/A,N/A,N/A
상명대 천안 인식,민ㄱㅣㅇ,2024.11.11.,446,N/A
N/A,민ㄱㅣㅇ,N/A,N/A,N/A
현타온다,자자 가자,2024.11.11.,223,N/A
N/A,자자 가자,N/A,N/A,N/A
수시반수 및 편입,hy0712,2024.11.11.,173,N/A
N/A,hy0712,N/A,N/A,N/A
[경기] 동방예대!,나는야 ㄴ,2024.11.11.,67,N/A
N/A,나는야 ㄴ,N/A,N/A,N/A
지방외고 4점대 막막합니다..,대학갈수있을까26,2024.11.11.,941,N/A
N/A,대학갈수있을까26,N/A,N/A,N/A
경기대,공D The,2024.11.11.,672,N/A
N/A,공D The,N/A,N/A,N/A
수능완성 서점에서 파나요?,starhahaha,2024.11.11.,177,N/A
N/A,starhahaha,N/A,N/A,N/A
신한대 합격기원!!,숭둥붕찡깽,2024.11.11.,271,N/A
N/A,숭둥붕찡깽,N/A,N/A,N/A
수능 방석,lilililllllillll,2024.11.11.,276,N/A
N/A,lilililllllillll,N/A,N/A,N/A
포기각서,별3,2024.11.10.,639,N/A
N/A,별3,N/A,N/A,N/A
[미대 수시] 동덕여대 디공,미대핑,2024.11.10.,588,N/A
N/A,미대핑,N/A,N/A,N/A
수능?관련 질문,나는난눈,2024.11.10.,133,N/A
N/A,나는난눈,N/A,N/A,N/A
"[동국대] 동국대 질문받아요! (혹은 컴공, it계열 학과 질문)",팬더링,2024.11.10.,576,N/A
N/A,팬더링,N/A,N/A,N/A
생윤 공부 방향 조언 부탁드립니다!,허빙빙,2024.11.10.,112,N/A
N/A,허빙빙,N/A,N/A,N/A
생명1 문제 질문,한여름밤유성우,2024.11.10.,85,N/A
N/A,한여름밤유성우,N/A,N/A,N/A
동국대1차합격기원,미밍미밍미밍,2024.11.10.,220,N/A
N/A,미밍미밍미밍,N/A,N/A,N/A
[부산] 한국해양대 합격 가능성 질문,바다좋아요,2024.11.10.,315,N/A
N/A,바다좋아요,N/A,N/A,N/A
탐구칠 때,Wheuqqss,2024.11.10.,130,N/A
N/A,Wheuqqss,N/A,N/A,N/A
강릉원주대 치위생,sssssssui,2024.11.10.,98,N/A
N/A,sssssssui,N/A,N/A,N/A
일반고 생기부로 자사고 이기는 법,마약툰,2024.11.10.,480,N/A
N/A,마약툰,N/A,N/A,N/A
국어 탐구로 최저 맞추는데,광고홍보학과 25학번,2024.11.10.,355,N/A
N/A,광고홍보학과 25학번,N/A,N/A,N/A
수능 쉬는시간,보내주새욘,2024.11.10.,613,N/A
N/A,보내주새욘,N/A,N/A,N/A
2025 수능 준비하는 분들 보세요,Betelgeuseeee,2024.11.10.,413,N/A
